t,m,j,apple,arhar (tur),banana,besan,"biscuits, chocolates",black pepper,bread (bakery),brinjal,cabbage,"cake, pastry, prepared sweets",candle ,cauliflower,chicken,chillis (green),chira,cooked meals,"cooked snacks purchased [samosa, puri, paratha,",curry powder,dhania,dry chillies,dung cake,eggs,electricity ,firewood & chips,fish ( fresh ),french beans and barbati,garlic,ginger,goat meat,"gourd, pumpkin",gram (split),gram (whole),groundnut,guava,gur,jeera,kerosene-other sources,kerosene-pds ,lady's finger,leaf tobacco,lemon,lpg,maida,maize & products,masur,matches ,milk: liquid,moong,muri,mustard oil,oilseeds,onion,"orange,mausami",other fresh fruits,other fuel ,other packaged processed food,other served processed food,other spices,other tobacco products ,other vegetables,palak,pan : finished,"papad, bhujia, namkeen, mixture, chanachur",parwal / patal,peas-vegetables,potato,radish,"raisin (kishmish, monacca etc.)","refined oil [sunflower, soyabean, saffola, etc.]",rice - P.D.S.,rice - other sources,salt ,"sewai, noodles",sugar - other sources,"suji, rawa",tea : cups,tea : leaf,tomato,turmeric,"vanaspati, margarine",wheat/atta - P.D.S.,wheat/atta - other sources
1,1,473331203,513.310444394906,927.5400993630002,,292.3826646666981,,,438.5557687822464,1618.073799805899,1796.5110532978233,,,2380.4388933182663,780.4405491494034,205.85502014895297,1086.53955524185,,,,,,,,,54994.79121761249,833.0785684909239,825.9953712862377,,,714.945732284277,2014.2523800642577,876.6913154418423,650.0224310848906,198.70000726130215,847.5150826556127,406.32325307588576,,,,1209.8153871860213,,,10969.68119331388,734.1311685904348,1887.8092593714885,1269.9004609514857,,,791.9215637527019,626.3093242973965,1711.2425719488922,,2221.1113622290595,,,,,,,,,1702.118147628786,,,1132.439120784411,1032.6796939097967,7772.103191166851,1311.572345488059,79.43284929948138,431.8996425039441,14756.09405926393,17015.843883978156,993.7955452512942,293.8879858718241,1584.0365207098002,446.51972644494407,,,1005.0068497379784,,308.30118835785504,10143.962321215206,16778.002664959004
1,1,473331204,922.0622419265717,1813.1106090873402,,614.2303000506221,,,399.7603922141441,2486.0578018538336,2896.1440637666165,,,4178.727172075672,1446.5676357818188,356.8999546553401,1921.536835380399,,,,,,,,,91025.20112918684,1728.080398080024,904.1471114013685,,,1109.1037735359212,3063.8743535926988,1299.8359459375122,1023.8861909186991,334.6363840358707,1227.9132318510788,747.0733992227122,,,,2212.2497824945226,,,15328.85462597489,1421.1053123180943,3213.444969476106,1807.1234515808135,,,1464.5284237117855,912.7033682630056,3394.6316671972327,,4300.665596780303,,,,,,,,,2646.62654556396,,,1947.1745664394336,1937.6360829580294,15413.161948116462,2299.9724691692286,191.3676229545559,871.9903060761978,17078.043699089565,55565.333981665506,2047.2168151576877,438.8487766218053,4051.8628815616453,596.916578405898,,,1983.169624059523,,693.8932399820127,14586.915643032256,52351.786550660945
1,1,473331301,931.3599374968641,1502.1862468763022,,544.7045148949104,,,557.0951447654375,2181.3021917706747,2386.841415785856,,,3200.3840592916395,1250.5266316081,302.9092875206599,2138.538662414116,,,,,,,,,72685.71883825486,1560.5017423817987,1009.4919430534628,,,1120.8686419872984,2936.4535808621554,1394.4711891264037,1264.4590208681693,325.85036865637886,1419.1792106477692,620.9921651873434,,,,1966.4364536439343,,,15824.806972781538,1035.2944043263697,3092.002875788757,1978.5614775366382,,,1346.1839126216744,969.9399759415969,3028.51350923644,,4442.681264306988,,,,,,,,,2525.0782250937423,,,1782.0532412951695,1719.2695989135902,13763.921989579685,2074.0670191917675,170.44548604829316,700.8070399401425,16398.77960951115,38340.59690240805,1688.3886460372541,454.4320300311546,3203.8925820044524,734.3762886393065,,,1658.7092350405383,,571.1116720696058,11042.476682837902,37766.25605339322
1,1,473331302,844.221392357599,1358.0712084974718,,542.1257585510772,,,517.8912890672187,2368.041044504499,2637.6174186886456,,,3598.2451255254773,1425.9317382288937,334.65557345823527,2125.8473757893457,,,,,,,,,79185.66270451658,1566.8072414731205,1701.6893170395153,,,1244.2172097475363,3084.4034792531784,1261.59643642274,1134.2707323140353,248.93959197614373,1432.7431682946606,740.365146647209,,,,2177.9138749325616,,,13642.587709276842,1029.5762907996266,2311.6090054762158,1898.6104256579945,,,1293.5469541415657,1112.1624009885268,3298.9085845186464,,4416.136261500686,,,,,,,,,2771.2922542456195,,,1967.4952475897708,1405.4644171868604,15239.557211410818,1733.289425024469,114.9101800067705,599.3979345483539,14694.361353225031,35361.24098829461,1677.4247410063092,379.3826746032351,2981.7972320917634,677.456453915811,,,1622.9004547420186,,429.57377407864016,10321.099826278944,35197.89564258086
1,1,473341101,1570.3454952711957,1681.213851924798,,751.6382953731887,,,816.3149010558783,3194.023842049634,3837.0427761650158,,,4768.559672040266,1824.3949280568816,427.62497889123233,2542.3145797425086,,,,,,,,,85324.56532698723,1870.791701101192,1935.7225467561123,,,1630.0932208681152,4406.704514868138,1700.2314720110408,1595.9646769404085,423.5990770682891,1967.7701166516422,1219.07286136181,,,,3021.1629225480215,,,15804.782528722752,1324.9881053078711,2929.5015982941504,2470.567350546876,,,1511.4756089172909,1420.7129323068357,4062.170882380397,,5262.448278385583,,,,,,,,,3827.478636802278,,,2557.471379561806,2073.469028896795,18395.72756184005,2808.4261764315393,208.07091586894825,879.3122713461447,16442.235421014982,47912.23538412417,1989.5589812164587,633.2411269996754,3931.3685514824333,982.2531830017174,,,2457.85556197997,,735.1298259596304,12509.260496241368,44901.26453157131
1,1,473341102,1757.2572063329308,863.6789665219708,,355.7556153615313,,,563.9454324644213,1718.3487179935098,1983.0026075506978,,,2767.074318998052,752.7540072760017,223.88924661886853,1220.7137145766296,,,,,,,,,35407.588230839996,942.8179592962804,1175.3623376218181,,,779.8317436116032,2433.9939934884846,797.5400409877838,620.5824694369877,354.827024094448,840.6909720641102,400.04085861712565,,,,1717.7449907373796,,,8279.716405425397,781.3436652784872,860.1047034826207,860.8849008631604,,,757.8945633139658,709.4745700624646,1257.172226571271,,1957.6343503427602,,,,,,,,,1864.9731069757602,,,1519.8983775671359,1152.388080119778,4592.836983846365,1553.871969464627,235.15244094730315,384.59022264395395,11228.077647762098,8638.430045623672,570.8405799214537,388.1539924208672,1241.8596652420626,509.5843043640851,,,1426.3145155958969,,379.94993431495845,8443.573356654462,8398.422324510959
1,1,473341201,739.6430926778113,1330.6639769960825,,559.6593728567525,,,700.8646498969648,2406.6578622239276,2755.5751360265976,,,3490.882906928414,1213.9404093198611,369.7997241750481,2044.3051804275544,,,,,,,,,80416.03513825958,1300.3886789454768,1669.627953262501,,,1341.5952614435973,3321.9742496537983,1395.4242913947182,1277.376078792973,474.6129728491628,1478.4100960857975,844.5697994516674,,,,1847.8212008777136,,,16287.577303102431,1117.2054212845924,3493.7413973747334,2250.5077162445814,,,1463.825954769217,1531.5150719604246,2961.2142114872995,,3572.8407727479293,,,,,,,,,2903.4994708172053,,,1533.4360277671242,1167.5864466214057,15711.476737823667,1961.5995584633936,141.10511029262955,807.4379814771986,16426.135724626234,34652.67078938581,1653.103405994258,452.47606387513036,2708.7471066330336,878.7920241334846,,,1628.1752257245037,,476.840954358126,10175.566784132297,35171.64705742749
1,1,473341202,920.2024491039645,1145.2472996810566,,550.6105613781581,,,726.0406292020592,2532.718500974909,2754.8967324099467,,,3268.3615378594645,1261.9110982350428,298.5593360415089,1763.5924233678406,,,,,,,,,60738.756153178976,1242.7310998794019,1242.9821290335124,,,935.7352581077101,2985.58885613065,1297.8884586993647,1094.158802196859,214.67654062531503,1245.9434327484573,623.7217064545832,,,,2000.9762026911033,,,11823.17882529794,1033.2332360479363,2084.6072685715058,1870.18661080236,,,1117.1656603949414,1166.1879155383376,2748.8013872548436,,3800.8932225039653,,,,,,,,,2712.87639644163,,,1790.8724800896484,1872.9598111326363,14326.187188278951,2119.76205070081,127.87615921426561,569.3249729389618,14211.755231837968,24229.641189522627,1397.3461289267975,479.25766848130513,2427.608750558728,626.5250148778592,,,1504.7015771301371,,447.6920106645324,9937.536536667127,24559.41890771628
1,1,473341203,523.4647466204127,1192.480559325413,,362.61358166023905,,,520.3583102574147,1944.4808996407571,2149.3531370466694,,,2998.684041667717,1101.343456039297,272.84542247019164,1436.4487716865915,,,,,,,,,66999.94229893725,1192.6465806041763,1107.9872120896162,,,901.5999805233562,2352.368604909239,1050.1421362696344,812.4945893949234,174.01034472964042,1157.0543708033172,511.9344637853727,,,,1795.372831624558,,,13085.351470201407,813.6187230968079,2593.6547535135683,1665.653982903495,,,1081.8507513302313,723.1677739258191,2616.6962415506237,,3369.198231356609,,,,,,,,,2158.205094241763,,,1426.4338521166935,1296.3072097888614,11521.285862605444,1533.679786431808,75.65502345730773,482.475872680391,15271.835680455522,27996.544613510443,1439.5393052898173,311.86477575631835,2371.936696957307,500.1312203736137,,,1246.0334166302289,,454.05114424749434,10291.528237059281,28833.482074330408
1,1,473341204,1360.0876401818045,1795.8951582327513,,793.3011473777243,,,1101.3102791180502,3294.869367393358,3740.7413698554697,,,4984.112747847379,1948.2446492126364,438.76358925845136,2520.630039318059,,,,,,,,,81355.71055071376,2080.345650724989,1786.906599164299,,,1695.1059108051793,3921.4303478844613,1615.28878414487,1319.0508698328154,485.20111081812877,1772.140596266104,873.270003342711,,,,2855.6989886172364,,,16007.676844393876,1304.8696461848742,2889.5240720944107,2442.5986558337377,,,1743.88625696043,1497.1471427955244,4006.117537028967,,5375.9633234453295,,,,,,,,,3394.66262996735,,,2229.1352256518103,2072.253685620139,18460.425096158,2678.4634356482675,173.7774017239398,880.084600276703,16041.060277321549,45584.67152792456,2073.6724366612416,644.9744059343882,4150.645512178383,946.8305860065103,,,2345.1818684679783,,774.747812904632,12441.489529890276,44825.225090256085
