t,m,j,apple,arhar (tur),banana,besan,"biscuits, chocolates",black pepper,bread (bakery),brinjal,cabbage,"cake, pastry, prepared sweets",candle ,cauliflower,chicken,chillis (green),chira,cooked meals,"cooked snacks purchased [samosa, puri, paratha,",curry powder,dhania,dry chillies,dung cake,eggs,electricity ,firewood & chips,fish ( fresh ),french beans and barbati,garlic,ginger,goat meat,"gourd, pumpkin",gram (split),gram (whole),groundnut,guava,gur,jeera,kerosene-other sources,kerosene-pds ,lady's finger,leaf tobacco,lemon,lpg,maida,maize & products,masur,matches ,milk: liquid,moong,muri,mustard oil,oilseeds,onion,"orange,mausami",other fresh fruits,other fuel ,other packaged processed food,other served processed food,other spices,other tobacco products ,other vegetables,palak,pan : finished,"papad, bhujia, namkeen, mixture, chanachur",parwal / patal,peas-vegetables,potato,radish,"raisin (kishmish, monacca etc.)","refined oil [sunflower, soyabean, saffola, etc.]",rice - P.D.S.,rice - other sources,salt ,"sewai, noodles",sugar - other sources,"suji, rawa",tea : cups,tea : leaf,tomato,turmeric,"vanaspati, margarine",wheat/atta - P.D.S.,wheat/atta - other sources
1,1,470441101,2639.9953253984127,1659.125400193444,,726.4656635884425,,,640.6736893746868,2804.5047265993016,3002.372977899459,,,3585.9134759840804,1594.0471390059267,392.38215411718375,2311.470056288758,,,,,,,,,58098.62454435984,1968.0938466450384,1933.682259581457,,,1457.1895503082794,3643.0922480183217,1251.568593561088,1078.5374716963952,527.8058364449471,1833.1110704037578,813.5833505346546,,,,2980.4524248525336,,,12737.784210375803,1210.1515336808816,1528.4937011038091,1584.5286569520156,,,1367.9037558823436,1283.5360308397273,3055.0838614306113,,4898.776609177149,,,,,,,,,3119.164909594214,,,2789.249138719518,1935.8823963617704,11730.26127167904,2420.7520186281163,303.88551449586987,833.7104242443124,15255.96990438516,23685.100334727656,1279.2877347267392,646.2710954986048,3484.1983207302424,913.2608037376283,,,2807.1141088848485,,695.1231545733808,10352.186017538153,23221.854218810655
1,1,470441102,1042.3423382231954,1136.6538798723675,,448.70429626394065,,,520.619697012509,1903.6142964783448,2050.762277387093,,,2517.4829973395044,1040.8654011371814,246.98707255815523,1637.0860779169705,,,,,,,,,54776.33656447716,1183.8959499763025,1056.2926573745071,,,884.9425622624705,2448.2458265530818,1064.2906739606326,923.5226714865585,243.24467916463178,1143.916694163425,434.35629305736336,,,,1660.6599531836403,,,11768.946366785678,821.223243814517,1546.3230279847942,1400.5072674883722,,,956.6024120355362,826.9022225179083,2112.2445841359463,,3464.5501838406567,,,,,,,,,2165.5933237017553,,,1598.2490827081435,1443.1892484837517,9120.519063044423,1584.1024157474874,142.70765775926822,478.15767233837795,13945.997435779336,17635.151559716523,1071.8801303044868,451.0769790807724,1976.9604596662728,591.1103294041858,,,1435.1395137486682,,364.11037873613793,9155.209341788719,17634.644634165696
1,1,470441201,1047.269911177686,1482.081243446913,,636.1190699137796,,,722.3426014001274,2724.921981309744,3024.9711867222436,,,3735.577433837146,1563.2102705777902,363.59182684031384,2172.1892407013843,,,,,,,,,74955.49603245777,1635.2194685345532,1818.299168220895,,,1511.941557982433,3305.5940043161445,1374.9317067213506,1179.8389241853217,379.6448098974655,1610.4561546707776,794.7097800842689,,,,2319.8347335467242,,,14144.355979880078,1120.5993008084756,2242.7853622446273,2061.8981736025507,,,1336.9796424385715,1290.5318596533725,3343.1465982380555,,4585.876283952316,,,,,,,,,3033.6854282444774,,,2063.3082977933745,1478.868494878385,16061.559015804773,1950.2300025267139,143.36405928957606,741.2171921022564,14916.948800227954,34166.190464689666,1687.1090397800137,501.18076925507086,3182.1265111373777,812.9899326785584,,,1850.249514995553,,493.7596790571536,10389.639345073765,34192.79441269244
1,1,470441202,1368.9476448724643,1495.04294520388,,627.0904760381783,,,670.9253930980269,2597.196392087926,2752.571948960032,,,3305.341657270162,1555.6602803894052,360.76947153672984,2019.3865932279925,,,,,,,,,65233.62929569343,1633.058870681427,1570.516548227286,,,1176.3791810999237,3476.919107681799,1416.9866171905987,1084.3121693565183,356.0457804270457,1585.490520007312,795.2067410849867,,,,2510.480091793542,,,13146.636303685515,1106.929021319546,2011.0877930712577,1876.456965855835,,,1213.7115380879077,1098.3933242932326,3017.5488575328027,,4392.919604526548,,,,,,,,,2964.7566824805003,,,2259.5331239443713,2222.8875914549367,13685.07195754057,2220.6207542726793,198.5955092807917,662.3673350777618,15696.816503986169,29960.882540683822,1471.9304347440761,580.9364735358633,3083.6686133966323,799.3481569454323,,,2171.9847617912415,,521.7767508411182,10814.960997023283,28368.36116653478
1,1,470441203,1178.22671526986,1569.226731908095,,536.378371622402,,,566.0392378616197,2397.1893580432643,2426.329423015753,,,3067.59911702322,1416.4684965822612,301.6965650613204,1912.1507996316257,,,,,,,,,61176.88615560973,1587.8221048415132,1113.0505551741685,,,1164.7660980353496,2723.410475024463,1407.5067498596222,1107.7884614957368,273.4847218950894,1415.7877439315787,632.5874091804798,,,,2264.7634655206793,,,13768.286010889131,1056.2582625391394,2382.278009126856,1845.444252443379,,,1229.5277067304264,998.3569791733531,2933.2598039644754,,4405.531339029785,,,,,,,,,2522.0252199731212,,,1896.183028424664,1846.2782445835228,12520.874042288147,2104.4987267910733,157.84543995856717,668.4614083279554,15399.580213025913,30914.450789686533,1521.5747024847128,508.11653625119186,3047.975724969649,716.2161421937052,,,1757.4533622215001,,557.2921363574712,10384.087530265146,30632.773949518327
1,1,470441204,890.2874087211209,1246.2514368664722,,473.6434203693837,,,614.4315459797898,2234.423089282191,2358.5165848377073,,,3160.989977737231,1133.3431493879748,287.7369185969678,1588.4372608050603,,,,,,,,,62207.68723416164,1273.5837085419023,1222.7951177221623,,,1072.2362819615114,2654.413326089436,1122.2701180238985,863.904021207192,334.29993817298157,1222.3803908216796,558.9999943480435,,,,1760.6932549237606,,,12421.864478268872,919.0880234209556,1941.3057601225191,1605.3956933069046,,,1080.536261633512,982.3794172201038,2452.6540959827025,,3311.908452087938,,,,,,,,,2323.2919611663006,,,1600.099375741625,1473.2123341030542,11142.802235357793,1756.0154803766263,136.33367503027517,583.3067566484451,15081.409983805712,23698.005197592585,1269.2105764961816,426.95109950851753,2354.117922267549,642.0766226674691,,,1511.296753667128,,387.4938569745999,10441.711311242749,22925.082580899623
1,1,470441301,1863.6298281512245,2388.708447008963,,1220.9434603411198,,,1008.6786316806557,4333.758029556907,5188.310012541864,,,7583.925234150948,2724.038239475888,534.7469382800032,3656.0362100946936,,,,,,,,,107207.25123141786,2829.270245264035,1979.3752466880374,,,2699.062511431193,4876.88858984873,2278.637263427606,1923.9433652264447,641.2410165056004,1987.3845126146289,1298.4858140998792,,,,3876.2964215028346,,,17260.72232064615,1972.0045108802613,3163.0405927773527,3056.74393091417,,,2051.4975846462285,2212.300335107117,5329.096937743539,,7096.987511427373,,,,,,,,,4476.188537441301,,,2879.0525570720433,2376.1729046474466,26773.293457367017,3159.6088780104615,294.33786207310305,1153.101474537396,14031.972072549623,90759.60613147383,2938.6418325592854,790.7204853394544,5421.291874452044,1131.3021808802932,,,2874.9947695553005,,725.9938216202863,12939.02342341155,84396.83787495729
1,1,470441302,480.3003535382282,963.0004233518613,,371.88226360661315,,,535.0558786474538,2024.9354036196073,2294.8849854171503,,,2892.608112201617,925.6370097607725,240.5327745967609,1330.9138608814224,,,,,,,,,62632.39921494989,926.7927378687314,1112.9009451874706,,,885.7413165166543,2365.79821716261,1088.2769591804113,898.3080714814874,183.0329212256234,877.8546042466688,609.4158825762526,,,,1402.3783666195343,,,11628.517887322185,883.2796336816424,2444.8337880525837,1727.1723283050896,,,916.4185404030869,830.738574062967,2202.3017772655244,,2624.7274103305426,,,,,,,,,2119.6607127743764,,,1218.3248989341744,1105.092295624122,11244.485563764909,1578.6764090400236,70.51177659297814,511.72249263591203,13973.875803884264,24335.960304875214,1292.7585790703693,309.9676344510642,1853.8634095644159,498.3913982737313,,,1008.8273502372233,,367.76427562753594,10051.875377285183,24381.00843300788
1,1,470471101,481.57249948157096,525.2602411475074,,168.0355372642749,,,400.25671043814486,1030.0541356801511,1286.2662406399168,,,1781.4989227607866,450.43593494117806,126.0947020195846,675.3851379847825,,,,,,,,,33227.532092611254,454.782462817418,544.3779307406561,,,389.3869583397513,1496.4683843004168,586.6206969073949,418.4501864603154,123.42684021151483,497.32729542565465,192.29145584968185,,,,873.8903698140116,,,7149.398763711152,509.97613470569985,863.7316240785664,668.0520988046716,,,449.836595625298,352.7191334563491,766.7994115576154,,1145.0514622410878,,,,,,,,,1170.7020796422325,,,822.327199865641,698.6398551220628,3326.408167709009,860.3678431020594,79.63420054209043,205.58094647653834,10545.274834125164,5873.415664514127,448.691579070803,215.98549963105853,638.2584967928806,266.5325684102283,,,635.1405125496825,,193.15241467904087,7856.604732026936,5985.429270460218
1,1,470471102,1814.2375332709823,925.2962507436285,,415.0028006517113,,,738.7910230994519,1794.494849035238,2052.3765245464797,,,2739.689260711932,872.508007844022,227.02807258890152,1342.6096523232306,,,,,,,,,37987.01152335587,1009.6635997104507,1262.5080015137191,,,787.3572781087615,2439.3975184086844,844.0883245332645,705.2103204769053,356.14063668031105,966.5440643820805,357.70497179227885,,,,1740.7364150338146,,,8913.540304771575,768.9018606817027,741.7119729930994,886.7977258081808,,,757.205141495254,672.6859860711755,1337.0649683831466,,2367.2243943755066,,,,,,,,,2047.2884119285443,,,1633.4455736799544,1279.8618160649971,5210.264287414754,1505.796968017012,255.42742831071544,399.98550872168613,11040.5751481418,8581.709311990835,594.853415616168,458.5209963636955,1266.9297721364019,525.9162152417098,,,1518.260918977758,,377.38967876813194,8647.86978389224,8375.319822340365
